,id,place_id,name,url,weekday,hour,expected,lat,lon,address,location_type,visit_duration,types,category,geom,vollcode,stadsdeelcode,hotspot
13,1778,ChIJOe5yc7cJxkcRI2kAqF3CHWs,Hema,"https://www.google.com/search?q=Hema, Stationsplein 45a, 1012 AB Amsterdam, Netherlands",0,20,0.684210526315789,52.379176,4.8990291,"Stationsplein 45a, 1012 AB Amsterdam, Netherlands",Point,15 min,"['store', 'point_of_interest', 'establishment']",2,0101000020E6100000F89B9A159B981340CCB6D3D688304A40,A01,A,Central Station
14,1779,ChIJOe5yc7cJxkcRI2kAqF3CHWs,Hema,"https://www.google.com/search?q=Hema, Stationsplein 45a, 1012 AB Amsterdam, Netherlands",0,21,0.539473684210526,52.379176,4.8990291,"Stationsplein 45a, 1012 AB Amsterdam, Netherlands",Point,15 min,"['store', 'point_of_interest', 'establishment']",2,0101000020E6100000F89B9A159B981340CCB6D3D688304A40,A01,A,Central Station
15,1780,ChIJOe5yc7cJxkcRI2kAqF3CHWs,Hema,"https://www.google.com/search?q=Hema, Stationsplein 45a, 1012 AB Amsterdam, Netherlands",0,22,0.368421052631579,52.379176,4.8990291,"Stationsplein 45a, 1012 AB Amsterdam, Netherlands",Point,15 min,"['store', 'point_of_interest', 'establishment']",2,0101000020E6100000F89B9A159B981340CCB6D3D688304A40,A01,A,Central Station
16,1781,ChIJOe5yc7cJxkcRI2kAqF3CHWs,Hema,"https://www.google.com/search?q=Hema, Stationsplein 45a, 1012 AB Amsterdam, Netherlands",0,23,0.236842105263158,52.379176,4.8990291,"Stationsplein 45a, 1012 AB Amsterdam, Netherlands",Point,15 min,"['store', 'point_of_interest', 'establishment']",2,0101000020E6100000F89B9A159B981340CCB6D3D688304A40,A01,A,Central Station
17,1782,ChIJOe5yc7cJxkcRI2kAqF3CHWs,Hema,"https://www.google.com/search?q=Hema, Stationsplein 45a, 1012 AB Amsterdam, Netherlands",0,12,0.118421052631579,52.379176,4.8990291,"Stationsplein 45a, 1012 AB Amsterdam, Netherlands",Point,15 min,"['store', 'point_of_interest', 'establishment']",2,0101000020E6100000F89B9A159B981340CCB6D3D688304A40,A01,A,Central Station
18,4714,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,4,0.0394736842105263,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
19,4715,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,5,0.0921052631578947,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
20,4716,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,6,0.197368421052632,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
21,4717,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,7,0.315789473684211,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
22,4718,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,8,0.447368421052632,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
